,RMSE,MAE,R²
LSTM,0.03043640980567299,0.023446299522010865,0.9933085265055323
Random Forest Regressor,0.2795955520896721,0.20628191048322647,0.4353290670364005
XGBoost,0.28517000210241195,0.21122145696922645,0.4125882982716146
LightGBM,0.2932842230982181,0.21615903550171028,0.3786843134010456
SVR,0.34833619077195893,0.241497058878789,0.12353997529480698
ARIMA,0.37254598274476036,0.27048611111111104,-0.0025237857536215547
CatBoost,0.3905541331778718,0.27963470245803623,-0.10178636267719532
Ridge,0.6103555003483108,0.5829020115258652,-1.690919100944162
Linear Regression,0.6103624527067499,0.5829094118857179,-1.6909804040393563
